/home/aejohnson13/miniforge3/envs/pytorch_env/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
cuda version: 12.8
number of gpus: 8
Epoch 2 time (event): 10.482s
Epoch 3 time (perf_counter): 10.431s
Epoch 3 time (event): 10.431s
Epoch 3 time (perf_counter): 10.450s
Epoch 3 time (event): 10.450s
Epoch 3 time (perf_counter): 10.452s
Epoch 3 time (event): 10.452s
Epoch 3 time (perf_counter): 10.462s
Epoch 3 time (event): 10.462s
Epoch 3 time (perf_counter): 10.459s
Epoch 3 time (event): 10.459s
Epoch 3 time (perf_counter): 10.465s
Epoch 3 time (event): 10.464s
Epoch 3 time (perf_counter): 10.445s
Epoch 3 time (event): 10.444s
Epoch 3 time (perf_counter): 10.476s
Epoch 3 time (event): 10.476s
Epoch 4 time (perf_counter): 10.424s
Epoch 4 time (event): 10.424s
Epoch 4 time (perf_counter): 10.432s
Epoch 4 time (event): 10.431s
Epoch 4 time (perf_counter): 10.415s
Epoch 4 time (event): 10.415s
Epoch 4 time (perf_counter): 10.416s
Epoch 4 time (event): 10.416s
Epoch 4 time (perf_counter): 10.420s
Epoch 4 time (event): 10.420s
Epoch 4 time (perf_counter): 10.433s
Epoch 4 time (event): 10.433s
Epoch 4 time (perf_counter): 10.432s
Epoch 4 time (event): 10.431s
Epoch 4 time (perf_counter): 10.422s
Epoch 4 time (event): 10.422s
Epoch 5 time (perf_counter): 10.444s
Epoch 5 time (event): 10.444s
Epoch 5 time (perf_counter): 10.449s
Epoch 5 time (event): 10.448s
Epoch 5 time (perf_counter): 10.434s
Epoch 5 time (event): 10.434s
Epoch 5 time (perf_counter): 10.456s
Epoch 5 time (event): 10.455s
Epoch 5 time (perf_counter): 10.461s
Epoch 5 time (event): 10.461s
Epoch 5 time (perf_counter): 10.443s
Epoch 5 time (event): 10.443s
Epoch 5 time (perf_counter): 10.448s
Epoch 5 time (event): 10.448s
Epoch 5 time (perf_counter): 10.473s
Epoch 5 time (event): 10.472s
Epoch 6 time (perf_counter): 10.430s
Epoch 6 time (event): 10.430s
Epoch 6 time (perf_counter): 10.423s
Epoch 6 time (event): 10.422s
Epoch 6 time (perf_counter): 10.453s
Epoch 6 time (event): 10.453s
Epoch 6 time (perf_counter): 10.445s
Epoch 6 time (event): 10.445s
Epoch 6 time (perf_counter): 10.442s
Epoch 6 time (event): 10.442s
Epoch 6 time (perf_counter): 10.454s
Epoch 6 time (event): 10.454s
Epoch 6 time (perf_counter): 10.454s
Epoch 6 time (event): 10.454s
Epoch 6 time (perf_counter): 10.433s
Epoch 6 time (event): 10.433s
Epoch 7 time (perf_counter): 10.384s
Epoch 7 time (event): 10.384s
Epoch 7 time (perf_counter): 10.417s
Epoch 7 time (event): 10.417s
Epoch 7 time (perf_counter): 10.410s
Epoch 7 time (event): 10.410s
Epoch 7 time (perf_counter): 10.416s
Epoch 7 time (event): 10.416s
Epoch 7 time (perf_counter): 10.404s
Epoch 7 time (event): 10.403s
Epoch 7 time (perf_counter): 10.415s
Epoch 7 time (event): 10.415s
Epoch 7 time (perf_counter): 10.418s
Epoch 7 time (event): 10.417s
Epoch 7 time (perf_counter): 10.441s
Epoch 7 time (event): 10.440s
Epoch 8 time (perf_counter): 10.424s
Epoch 8 time (event): 10.424s
Epoch 8 time (perf_counter): 10.421s
Epoch 8 time (event): 10.421s
Epoch 8 time (perf_counter): 10.440s
Epoch 8 time (event): 10.440s
Epoch 8 time (perf_counter): 10.439s
Epoch 8 time (event): 10.439s
Epoch 8 time (perf_counter): 10.431s
Epoch 8 time (event): 10.431s
Epoch 8 time (perf_counter): 10.456s
Epoch 8 time (event): 10.456s
Epoch 8 time (perf_counter): 10.443s
Epoch 8 time (event): 10.443s
Epoch 8 time (perf_counter): 10.431s
Epoch 8 time (event): 10.431s
Epoch 9 time (perf_counter): 10.400s
Epoch 9 time (event): 10.399s
Epoch 9 time (perf_counter): 10.422s
Epoch 9 time (event): 10.421s
Epoch 9 time (perf_counter): 10.436s
Epoch 9 time (event): 10.436s
Epoch 9 time (perf_counter): 10.428s
Epoch 9 time (event): 10.428s
Epoch 9 time (perf_counter): 10.434s
Epoch 9 time (event): 10.434s
Epoch 9 time (perf_counter): 10.431s
Epoch 9 time (event): 10.431s
Epoch 9 time (perf_counter): 10.441s
Epoch 9 time (event): 10.441s
Epoch 9 time (perf_counter): 10.433s
Epoch 9 time (event): 10.432s
[rank0]:[W212 19:43:42.242912942 ProcessGroupNCCL.cpp:1524] Warning: WARNING: destroy_process_group() was not called before program exit, which can leak resources. For more info, please see https://pytorch.org/docs/stable/distributed.html#shutdown (function operator())
